,country,year,upsec_ageindatayear,Female_Needs_in_primary,Female_Needs_in_LS,Female_Needs_in_US,Male_Needs_in_primary,Male_Needs_in_LS,Male_Needs_in_US,age_low,age_high,age_band,Total_population_agerange,Female_population_agerange,Male_population_agerange,Female_primary_pop,Female_LS_pop,Female_US_pop,Male_primary_pop,Male_LS_pop,Male_US_pop,Gender_parity_index_primary,Gender_parity_index_LS,Gender_parity_index_US
21,Chad,2019,16-18,68.74178532291839,26.55237186815757,0.1887485047051378,61.45147228777385,30.148397500375353,0.350600173571554,16,18,3,1112.9699999999998,556.0,557.0,382204.3263954263,147631.18758695608,1049.4416861605662,342284.70064290037,167926.5740770907,1952.8429667935557,1.1166269648557077,0.8791413056469695,0.537391743220236
22,Colombia,2015,15-16,3.147171899,25.911066205999997,1.923808994,3.9531516939999998,34.183442183,1.678548617,15,16,2,1659.3310000000001,812.0,847.0,25555.03581988,210397.85759271999,15621.329031280002,33483.19484818,289533.75529001,14217.306785989998,0.7632197565301645,0.7266781635943486,1.0987544452985676
23,Comoros,2012,16-18,23.1,37.0,1.1,19.9,43.2,1.7,16,18,3,53.698,26.0,27.0,6006.0,9620.0,286.0,5373.0,11664.0,459.0,1.1178112786152987,0.8247599451303155,0.6230936819172114
24,Congo,2014-15,16-18,16.1,45.5,1.2,13.8,45.6,0.8,16,18,3,343.1,171.0,172.0,27531.0,77805.0,2052.0,23736.0,78432.0,1376.0,1.1598837209302326,0.9920058139534884,1.4912790697674418
25,Costa Rica,2018,15-16,0.5378606627489028,43.07399451900197,0.4986867623930368,1.244766134339053,53.84837712437123,0.2822766188584049,15,16,2,142.732,70.0,73.0,376.5024639242319,30151.79616330138,349.08073367512577,908.6792780675087,39309.315300791,206.06193176663558,0.41434032118014286,0.7670394646302743,1.6940573675221995
26,Cuba,2019,15-17,0.1671146965777216,6.391074109532614,11.23645876495214,0.6801444264893537,10.593075513797164,13.51800131977366,15,17,3,378.572,184.0,195.0,307.49104170300774,11759.57636154001,20675.08412751194,1326.2816316542396,20656.497251904468,26360.102573558637,0.23184445472526183,0.5692918900108203,0.7843324611434084
27,Côte d'Ivoire,2015-16,16-18,53.843612706952584,31.91264916571088,1.520793689952277,37.456488819979015,40.594228454510244,2.224012625749785,16,18,3,1747.2939999999999,873.0,874.0,470054.73893169605,278597.427216656,13276.528913283377,327369.7122866166,354793.5566924195,19437.87034905312,1.435852863872015,0.7852381249927262,0.6830238433980562
28,Democratic Republic of the Congo,2017-18,14-17,32.08033522563984,31.67603482917206,1.258739729238919,30.741227161075695,31.67020877593182,0.8400918727278913,14,17,4,8049.5779999999995,4001.0,4049.0,1283534.21237785,1267358.1535151743,50362.17656684916,1244712.2877519547,1282326.7533374794,34015.31992675232,1.03118947648216,0.9883270002880726,1.4805733615117458
29,Dominican Republic,2014,14-17,8.0,18.6,2.0,17.6,26.5,2.1,14,17,4,771.288,378.0,393.0,30240.0,70308.0,7560.0,69168.0,104145.0,8253.0,0.43719639139486466,0.6750972202218062,0.916030534351145
30,Egypt,2014,15-17,9.2,14.100000000000001,6.9,9.1,15.5,2.3,15,17,3,5275.602000000001,2561.0,2715.0,235612.0,361101.0,176709.0,247065.0,420825.0,62445.0,0.9536437779531702,0.8580787738371057,2.8298342541436465
31,Eswatini,2014,16-17,18.599999999999998,53.5,1.0,27.8,49.5,0.0,16,17,2,52.266999999999996,26.0,26.0,4835.999999999999,13910.0,260.0,7228.0,12870.0,0.0,0.6690647482014387,1.0808080808080809,inf
32,Ethiopia,2016,17-18,46.637672295,35.740628963999995,6.08532621,44.366583447,41.712335893,6.016436722,17,18,2,5161.231,2559.0,2602.0,1193458.03402905,914602.6951887598,155723.4977139,1154418.5012909397,1085354.97993586,156547.68350644,1.0338174870676915,0.8426760940856503,0.9947352412116268
33,Gabon,2012,15-17,14.4,70.6,0.4,24.0,66.1,0.5,15,17,3,119.009,59.0,60.0,8496.0,41654.0,236.0,14400.0,39660.0,300.0,0.59,1.0502773575390822,0.7866666666666666
34,Georgia,2018,15-17,0.1499313812308147,5.941285523105363,5.554623692035138,0.4011530467432512,4.835657192678977,9.970680263468248,15,17,3,131.519,62.0,70.0,92.95745636310512,3683.5970243253255,3443.866689061785,280.80713272027583,3384.960034875284,6979.476184427774,0.3310366637150349,1.0882246721890898,0.4934276725158189
35,Ghana,2017-18,15-17,19.04908461283975,58.67550591858691,3.975720435285651,21.935226595163655,57.98753646109613,3.344044188175345,15,17,3,1917.41,938.0,980.0,178680.41366843684,550376.2455163451,37292.257682979405,214965.22063260383,568277.857318742,32771.63304411838,0.8312061511281343,0.9684984878931223,1.1379432215896959
36,Guinea,2018,17-19,59.02552969807507,26.835884853069103,0.8560551858954422,43.81913389511034,38.08038779824206,0.5857421170922372,17,19,3,884.5889999999999,438.0,447.0,258531.82007756882,117541.17565644268,3749.521714222037,195871.5285111432,170219.33345814198,2618.2672634023,1.3199050522693034,0.6905277636123913,1.4320622522506474
37,Guinea-Bissau,2018-19,15-17,62.55782054727659,30.554373039116165,0.0,62.120509302634545,32.095561401554214,0.2228356491565422,15,17,3,128.067,64.0,64.0,40037.00515025702,19554.798745034346,0.0,39757.12595368611,20541.159296994698,142.614815460187,1.0070397240710243,0.9519812617341095,0.0
38,Guyana,2014,15-16,0.9999999999999999,10.899999999999999,5.3,4.6,18.4,9.8,15,16,2,29.302,15.0,15.0,149.99999999999997,1634.9999999999998,795.0,690.0,2760.0,1470.0,0.21739130434782605,0.592391304347826,0.5408163265306123
39,Haiti,2016-17,15-18,31.466518339829477,43.519452726869766,0.8958564999889537,41.49796733823136,38.59641163896778,0.2204976134207549,15,18,4,921.408,457.0,464.0,143801.9888130207,198883.89896179482,4094.0642049495186,192550.56844939353,179087.3500048105,1023.1089262723029,0.7468271320674651,1.1105413026461812,4.001591716989744
40,Honduras,2011-12,15-16,14.600000000000001,37.7,3.4,17.5,43.7,3.8,15,16,2,415.945,204.0,212.0,29784.0,76908.0,6936.0,37100.0,92644.0,8056.0,0.8028032345013477,0.8301455032166142,0.8609731876861966
41,India,2015-16,14-17,8.5,16.7,4.6,7.9,18.3,3.4,14,17,4,101375.69099999999,47838.0,53537.0,4066230.0,7988946.0,2200548.0,4229423.0,9797271.0,1820258.0,0.9614148312902256,0.8154256425080004,1.2089209331863944
42,Indonesia,2015,16-18,2.9,17.299999999999997,10.3,5.0,18.8,8.4,16,18,3,14035.824,6807.0,7229.0,197403.0,1177610.9999999998,701121.0,361450.0,1359052.0,607236.0,0.5461419283441693,0.8664944387705545,1.1546103985929688
43,Iraq,2018,15-17,25.587193436828993,36.62733657336013,1.60422171728392,18.068335309676485,49.3431387393625,0.8570767113975419,15,17,3,2532.631,1233.0,1299.0,315490.0950761015,451615.05994953046,19780.053774110733,234707.67567269754,640967.3722243189,11133.42648105407,1.3441831170279064,0.7045835396929987,1.7766366722563594
44,Jamaica,2011,15-16,0.7,17.5,2.4,0.9,19.1,4.9,15,16,2,93.406,46.0,48.0,322.0,8050.0,1104.0,432.0,9168.0,2352.0,0.7453703703703703,0.8780541012216405,0.46938775510204084
45,Jordan,2017-18,16-17,3.1966663396296946,16.081708939537656,2.785102252953339,4.345525638222557,18.059904581983496,5.663387303447471,16,17,2,420.01300000000003,208.0,212.0,6649.065986429764,33449.95459423833,5793.012686142944,9212.51435303182,38286.99771380501,12006.381083308639,0.7217428089261614,0.8736635566015507,0.48249448738524836
46,Kazakhstan,2015,16-17,0.204436129,0.0,0.0,0.121756473,0.0,0.0,16,17,2,447.082,218.0,229.0,445.67076122,0.0,0.0,278.82232317,0.0,0.0,1.59840415987163,,
47,Kenya,2014,14-17,16.2,35.1,5.7,20.4,37.2,3.8,14,17,4,4999.11,2483.0,2516.0,402246.0,871533.0,141531.0,513264.0,935952.0,95608.0,0.7837019545497054,0.9311727524488436,1.4803259141494436
48,Kiribati,2018-19,15-18,1.0607156339114985,16.43268310128547,7.531316402509656,6.558905350747929,29.3629171301139,9.731464058905024,15,18,4,8.16,4.0,4.0,42.42862535645994,657.3073240514188,301.2526561003863,262.35621402991717,1174.5166852045559,389.25856235620097,0.16172144240357764,0.5596406865322148,0.7739140130325954
51,Kyrgyzstan,2018,16-17,0.0,2.834381227013822,14.21936629616793,1.4498154195665187,3.099804820652635,10.03291574445924,16,17,2,199.191,98.0,101.0,0.0,2777.6936024735455,13934.978970244572,1464.3135737621838,3130.802868859161,10133.244901903832,0.0,0.8872144682445989,1.3751743992318266
52,Lao People's Democratic Republic,2017,15-17,15.957287432022088,39.883075243344436,4.853781148364384,12.611681710869385,46.484468723503284,2.424224537016432,15,17,3,429.01700000000005,211.0,218.0,33669.87648156661,84153.28876345676,10241.478223048849,27493.466129695258,101336.14181723716,5284.809490695821,1.2246501158760883,0.8304370706675392,1.9379086873575098
53,Lebanon,2011,15-17,8.9,34.2,9.9,18.799999999999997,37.4,9.9,15,17,3,342.864,168.0,174.0,14952.0,57456.0,16632.0,32711.999999999996,65076.0,17226.0,0.45707997065297146,0.8829061405126314,0.9655172413793104
54,Lesotho,2018,16-17,6.088024859527119,62.251174533754075,2.08551324651312,28.228359807490367,58.49790521313149,0.2225395499060283,16,17,2,87.568,44.0,44.0,2678.730938191932,27390.516794851796,917.6258284657728,12420.478315295763,25739.078293777857,97.91740195865246,0.21567051366235124,1.06416074741391,9.371427449160244
55,Liberia,2019-20,15-17,52.83189253165004,34.587096226120956,1.162630531678158,60.64567194378771,28.91417794697892,0.0063916277666952,15,17,3,341.131,168.0,173.0,88757.57945317207,58106.32165988321,1953.2192932193052,104917.01246275275,50021.52784827353,11.057516036382696,0.8459789062777827,1.1616262869085618,176.64177802614992
56,Madagascar,2018,15-17,40.204506471835714,42.537962610433794,4.17281285717953,40.95890490336352,45.944422153668214,2.416006402208009,15,17,3,1845.0620000000001,920.0,925.0,369881.45954088855,391349.2560159909,38389.87828605168,378869.87035611254,424985.904921431,22348.059220424082,0.976275730749517,0.9208523188277065,1.7178171002413867
57,Malawi,2015-16,16-17,31.513156548999998,57.129555293,1.221614319,38.494968229,50.427471687,0.155063206,16,17,2,883.0,441.0,442.0,138973.02038108997,251941.33884213,5387.319146790001,170147.75957218,222889.42485654002,685.3793705200001,0.81677843264304,1.1303422717533094,7.860346223585078
58,Maldives,2016-17,16-17,0.8237611122939522,30.71932373801267,10.46644023437407,2.711064984535369,36.95116861860792,11.13914314663587,16,17,2,9.384,5.0,4.0,41.18805561469762,1535.9661869006334,523.3220117187035,108.44259938141477,1478.046744744317,445.56572586543484,0.3798143520133708,1.0391864752331197,1.1745113713633166
59,Mali,2018,16-18,57.742860263682246,28.75156912415938,2.269936880113339,47.783176704363164,35.96597993298527,2.291901756294164,16,18,3,1349.0829999999999,665.0,684.0,383990.02075348696,191197.93467565987,15095.080252753703,326836.9286578441,246007.30274161926,15676.608013052082,1.174867302573005,0.7772043046887697,0.9629047457323543
60,Mauritania,2015,16-18,42.07446553635348,39.027969785117016,1.360411540180756,37.80171353242033,41.89684849938568,0.2918907574298688,16,18,3,281.848,139.0,143.0,58483.507095531335,54248.87800131265,1890.9720408512508,54056.450351361076,59912.49335412152,417.4037831247124,1.0818969191538637,0.9054685419394375,4.530318404628029
61,Moldova,2012,16-17,1.8,7.2,12.5,3.1999999999999997,9.8,16.7,16,17,2,79.5,38.0,41.0,684.0,2736.0,4750.0,1311.9999999999998,4018.0,6847.0,0.5213414634146343,0.6809357889497263,0.6937344822550022
62,Mongolia,2018,15-16,1.1418773352904803,5.492406386427722,1.091751396630141,1.8914238228814688,8.732051057713555,9.347037759632444,15,16,2,91.423,45.0,46.0,513.8448008807162,2471.5828738924747,491.28812848356347,870.0549585254757,4016.7434865482355,4299.637369430924,0.5905888999834606,0.6153200676542118,0.1142626892157158
63,Montenegro,2018,15-18,4.130272377297752,3.357859109959546,1.300213418794706,3.8423009758017583,8.142135253410771,0.302754716580375,15,18,4,31.195999999999998,15.0,16.0,619.5408565946627,503.6788664939319,195.0320128192059,614.7681561282814,1302.7416405457234,48.44075465286,1.0077634152302863,0.3866298971474796,4.026196829856592
65,Mozambique,2011,16-17,59.699999999999996,36.9,0.9,53.1,42.7,0.5,16,17,2,1443.972,726.0,718.0,433422.0,267894.0,6534.0,381258.0,306586.0,3590.0,1.1368207355648932,0.873797237969118,1.8200557103064068
66,Namibia,2013,17-18,13.0,47.0,8.3,20.9,50.8,5.7,17,18,2,96.054,48.0,48.0,6240.0,22560.0,3984.0,10032.0,24384.0,2736.0,0.6220095693779905,0.9251968503937008,1.456140350877193
67,Nepal,2019,13-16,16.136652271,41.422838873,1.347895539,14.143322570999999,46.705871144999996,0.775782878,13,16,4,2453.455,1214.0,1240.0,195898.95856994,502873.26391822,16363.45184346,175377.19988039997,579152.802198,9619.7076872,1.1170149751708605,0.8682911694629051,1.7010342076436729
68,Niger,2012,17-19,83.60000000000001,13.0,0.2,67.9,24.599999999999998,1.3,17,19,3,1509.873,742.0,768.0,620312.0000000001,96460.0,1484.0,521472.0,188927.99999999997,9984.0,1.1895403780068732,0.5105648712737129,0.1486378205128205
69,Nigeria,2018,15-17,28.304470592495,22.823390452255,1.500237261849,27.818652257588,25.575412850274002,1.942755292386,15,17,3,13620.091999999999,6684.0,6936.0,1891870.8144023658,1525515.4178287243,100275.85858198717,1929501.7205863034,1773910.6352950048,134749.50707989297,0.9804970859665764,0.8599730941773333,0.744164938002583
70,North Macedonia,2018-19,15-18,0.817077475055008,3.805185451102284,2.646863551881499,3.5494265802667764,4.035050616382824,0.7273514677178795,15,18,4,96.386,47.0,50.0,384.02641327585377,1788.4371620180734,1244.0258693843045,1774.713290133388,2017.525308191412,363.6757338589398,0.2163878613018051,0.8864509182396814,3.420700787990516
